,Year,Month,Avr.ID,Avrakning,Medlemsnummer,Avr.Omr,Avrakningsomrade,Verknummer, ,Typ av framforande inom avrakningsomradet,Land,Roll,Andel%,Belopp,Avtalsnummer,Avtalsnamn,Filmnummer,Filmtitel,Episodtitel,Rattighet,Antal Spelningar
0,2018,June,1197,Juniutbetalning 2018,5033743,4,Dans-diskotek,27208757,1400,DISCO - SPOTIFY,SVERIGE,CA,"10,94",114.66,,,,,,PR,
1,2018,June,1197,Juniutbetalning 2018,5033743,4,Dans-diskotek,31495330,1400,DISCO - SPOTIFY,SVERIGE,CA,"8,9",1.37,,,,,,PR,
2,2018,June,1197,Juniutbetalning 2018,5033743,4,Dans-diskotek,35175994,1400,DISCO - SPOTIFY,SVERIGE,CA,"10,0",0.59,,,,,,PR,
3,2018,June,1197,Juniutbetalning 2018,5033743,4,Dans-diskotek,35598261,1400,DISCO - SPOTIFY,SVERIGE,CA,"18,8",11.22,,,,,,PR,
4,2018,June,1197,Juniutbetalning 2018,5033743,4,Dans-diskotek,37711023,1400,DISCO - SPOTIFY,SVERIGE,CA,"35,0",71.57,,,,,,PR,
5,2018,June,1197,Juniutbetalning 2018,5033743,4,Dans-diskotek,39124693,1400,DISCO - SPOTIFY,SVERIGE,CA,"11,67",13.65,,,,,,PR,
6,2018,June,1197,Juniutbetalning 2018,5033743,5,Levande musik med rapport,27208757,150B,"LEVANDE-POP,ROCK",SVERIGE,CA,"10,94",71.43,,,,,,PR,
7,2018,June,1197,Juniutbetalning 2018,5033743,5,Levande musik med rapport,27208757,150B,"LEVANDE-POP,ROCK",SVERIGE,CA,"11,12",1.77,,,,,,PR,
8,2018,June,1197,Juniutbetalning 2018,5033743,5,Levande musik med rapport,35175994,150B,"LEVANDE-POP,ROCK",SVERIGE,CA,"10,0",85.24,,,,,,PR,
9,2018,June,1197,Juniutbetalning 2018,5033743,5,Levande musik med rapport,37711023,150B,"LEVANDE-POP,ROCK",SVERIGE,CA,"35,0",47.54,,,,,,PR,
10,2018,June,1197,Juniutbetalning 2018,5033743,5,Levande musik med rapport,38001949,150B,"LEVANDE-POP,ROCK",SVERIGE,A,"25,0",198.96,,,,,,PR,
11,2018,June,1197,Juniutbetalning 2018,5033743,7,Teatermusik,27208757,155,INLAGEMUSIK,SVERIGE,CA,"10,94",2.66,,,,,,PR,
12,2018,June,1197,Juniutbetalning 2018,5033743,8,Bakgrundsmusik med rapport,27208757,B2120,Bakgrund - Streamec,SVERIGE,CA,"10,94",1.74,,,,,,PR,
13,2018,June,1197,Juniutbetalning 2018,5033743,8,Bakgrundsmusik med rapport,27208757,B2120,Bakgrund - Streamec,SVERIGE,CA,"10,94",0.65,,,,,,PR,
14,2018,June,1197,Juniutbetalning 2018,5033743,8,Bakgrundsmusik med rapport,27208757,B2121,Bakgrund - My Instore Radio,SVERIGE,CA,"10,94",5.25,,,,,,PR,
15,2018,June,1197,Juniutbetalning 2018,5033743,8,Bakgrundsmusik med rapport,27208757,B2121,Bakgrund - My Instore Radio,SVERIGE,CA,"10,94",4.55,,,,,,PR,
16,2018,June,1197,Juniutbetalning 2018,5033743,8,Bakgrundsmusik med rapport,27208757,B2122,Bakgrund - Play Network,SVERIGE,CA,"10,94",0.6,,,,,,PR,
17,2018,June,1197,Juniutbetalning 2018,5033743,8,Bakgrundsmusik med rapport,27208757,B2125,BAKGRUND - LIVEQUBE,SVERIGE,CA,"10,94",3.78,,,,,,PR,
18,2018,June,1197,Juniutbetalning 2018,5033743,8,Bakgrundsmusik med rapport,27208757,B2129,Bakgrund - Fitness Player,SVERIGE,CA,"10,94",5.08,,,,,,PR,
19,2018,June,1197,Juniutbetalning 2018,5033743,8,Bakgrundsmusik med rapport,27208757,BMR2016,MUSIC PARTNER,SVERIGE,CA,"10,94",3.0,,,,,,PR,
20,2018,June,1197,Juniutbetalning 2018,5033743,8,Bakgrundsmusik med rapport,27208757,BMR2077,SPOTIFY BUSINESS,SVERIGE,CA,"10,94",1722.03,,,,,,PR,
21,2018,June,1197,Juniutbetalning 2018,5033743,8,Bakgrundsmusik med rapport,27208757,BMR2084,SWEDEBEAT,SVERIGE,CA,"10,94",64.69,,,,,,PR,
22,2018,June,1197,Juniutbetalning 2018,5033743,8,Bakgrundsmusik med rapport,27208757,BMR2106,MUSIC IN BRANDS,SVERIGE,CA,"10,94",26.35,,,,,,PR,
23,2018,June,1197,Juniutbetalning 2018,5033743,8,Bakgrundsmusik med rapport,27208757,BMR2111,HEARTBEATS,SVERIGE,CA,"10,94",8.97,,,,,,PR,
24,2018,June,1197,Juniutbetalning 2018,5033743,8,Bakgrundsmusik med rapport,35175987,B2125,BAKGRUND - LIVEQUBE,SVERIGE,CA,"25,0",4.01,,,,,,PR,
25,2018,June,1197,Juniutbetalning 2018,5033743,8,Bakgrundsmusik med rapport,35175987,BMR2077,SPOTIFY BUSINESS,SVERIGE,CA,"25,0",0.01,,,,,,PR,
26,2018,June,1197,Juniutbetalning 2018,5033743,8,Bakgrundsmusik med rapport,35598261,BMR2077,SPOTIFY BUSINESS,SVERIGE,CA,"18,8",9.01,,,,,,PR,
27,2018,June,1197,Juniutbetalning 2018,5033743,8,Bakgrundsmusik med rapport,37711023,BMR2077,SPOTIFY BUSINESS,SVERIGE,CA,"35,0",0.73,,,,,,PR,
